iter	Passed	Remaining
963	4794	179
964	4799	174
965	4804	169
966	4809	164
967	4814	159
968	4818	154
969	4823	149
970	4828	144
971	4833	139
972	4838	134
973	4843	129
974	4848	124
975	4852	119
976	4857	114
977	4862	109
978	4867	104
979	4872	99
980	4876	94
981	4881	89
982	4886	84
983	4891	79
984	4896	74
985	4900	69
986	4905	64
987	4910	59
988	4915	54
989	4920	49
990	4925	44
991	4930	39
992	4935	34
993	4940	29
994	4945	24
995	4950	19
996	4955	14
997	4960	9
998	4965	4
999	4970	0
